year,wbhao,state,igen,lths,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2016,White,New York,All,.028979514,.52403951,.92332786,.81125414,.55836356,.43741402,.11784948,.10048773,.78166276,45003
2016,Hispanic,New York,All,.18209915,.26213482,.90556544,.75200695,.45053712,.53321356,.49450496,.38381302,.121682,28000
2016,White,New Jersey,All,.014414853,.48719653,.92699832,.80821764,.68889272,.52681988,.10689101,.11170753,.78140146,48041
2016,Hispanic,New Jersey,All,.1892627,.19162925,.80025762,.79273003,.49357638,.60483229,.58613276,.31204975,.10181748,28000
2016,White,Illinois,All,.025770256,.46886384,.91906089,.85296243,.58749318,.46592706,.082348838,.056991804,.86065936,45002
2016,Hispanic,Illinois,All,.26373878,.14031765,.79886323,.75621611,.57431322,.6681757,.53453672,.27295995,.19250333,23520
2016,White,Florida,All,.027765628,.35933375,.84365046,.77928746,.57988191,.38812089,.074403591,.040889692,.88470674,35031
2016,Hispanic,Florida,All,.1243384,.28043753,.76574445,.76026791,.58469772,.53118914,.59082216,.30764669,.10153113,27000
2016,White,Texas,All,.031344064,.46401426,.85272074,.79321951,.66253847,.48539847,.046555877,.034751564,.91869259,41109
2016,Hispanic,Texas,All,.28704441,.14868119,.64880574,.7683261,.59075528,.59876102,.49247634,.19494899,.31257465,25000
2016,White,California,All,.021708535,.48089191,.92339993,.78761512,.58189195,.42684636,.09034811,.07565327,.83399862,43014
2016,Hispanic,California,All,.28194347,.12892756,.83961231,.7226333,.58717388,.62730765,.52506787,.28013495,.1947972,23016
1994,White,New York,1st Generation,.14016478,.35726941,.77422994,.67907929,.73144585,.49821365,,,,28810.924
1994,Hispanic,New York,1st Generation,.34491688,.10812553,.6814338,.58980769,.54557753,.65588737,,,,16157.772
1994,White,New Jersey,1st Generation,.13215189,.3049725,.79638529,.70204109,.76861167,.5548203,,,,32881.066
1994,Hispanic,New Jersey,1st Generation,.34657601,.073918179,.57552803,.65962011,.63171703,.60610485,,,,20843.527
1994,White,Illinois,1st Generation,.16305125,.36103135,.87939626,.7597847,.76481819,.55208194,,,,30699.768
1994,Hispanic,Illinois,1st Generation,.58698779,.049495209,.54307866,.72050399,.70968693,.69204658,,,,16157.772
1994,White,Florida,1st Generation,.065029986,.35175267,.79844379,.71394604,.81236923,.50871056,,,,27983.646
1994,Hispanic,Florida,1st Generation,.29886881,.13426693,.57403314,.73640585,.65501076,.56818736,,,,19066.172
1994,White,Texas,1st Generation,.14888158,.41884205,.82224965,.75819695,.628429,.52132881,,,,21316.949
1994,Hispanic,Texas,1st Generation,.60167778,.14349544,.42103675,.76054686,.70186436,.70770746,,,,14541.995
1994,White,California,1st Generation,.10951045,.41361639,.81960702,.71793926,.76780993,.57952648,,,,32477.123
1994,Hispanic,California,1st Generation,.57828128,.069639035,.55915838,.66030425,.70818132,.78213114,,,,16157.772
1994,White,New York,2nd Generation,.039627556,.37220505,.91552836,.78053421,.65929788,.45300636,,,,42171.785
1994,Hispanic,New York,2nd Generation,.30975631,.046091713,.81138527,.55071229,.48481795,.55887944,,,,16642.506
1994,White,New Jersey,2nd Generation,.04166973,.39613131,.87274843,.81065464,.7011227,.4869912,,,,45241.762
1994,Hispanic,New Jersey,2nd Generation,.22033189,.10036511,.71450496,.63904238,.52637511,.59342766,,,,25852.436
1994,White,Illinois,2nd Generation,.029031575,.28336206,.87491137,.8128835,.57558435,.47872114,,,,40071.277
1994,Hispanic,Illinois,2nd Generation,.28418383,.24286941,.71149689,.70085776,.58580124,.51179284,,,,25852.436
1994,White,Florida,2nd Generation,.049295992,.32968539,.7848838,.76373166,.61286557,.44984859,,,,29083.99
1994,Hispanic,Florida,2nd Generation,.12022073,.2008929,.64133626,.69716549,.52375346,.42793173,,,,26498.748
1994,White,Texas,2nd Generation,.08532162,.48815572,.89380568,.80700946,.67414725,.37832144,,,,50095.559
1994,Hispanic,Texas,2nd Generation,.35650173,.12088339,.69448435,.72615027,.68696606,.68916023,,,,17773.551
1994,White,California,2nd Generation,.058566198,.38876167,.86297637,.79294276,.63490772,.52191466,,,,41346.125
1994,Hispanic,California,2nd Generation,.22956142,.090034403,.82820892,.76632226,.61688596,.55538028,,,,27726.738
1994,White,New York,3rd Generation,.054354366,.33936581,.88279116,.79010677,.66492456,.51523757,,,,38132.344
1994,Hispanic,New York,3rd Generation,.062449992,.13548775,.79630423,.63218719,.54160947,.64517933,,,,40394.43
1994,White,New Jersey,3rd Generation,.037648294,.38622215,.90199208,.82044995,.6826666,.51433152,,,,46938.328
1994,Hispanic,New Jersey,3rd Generation,0,.15512067,.60180455,1,.61357468,.61486095,,,,29407.146
1994,White,Illinois,3rd Generation,.052474078,.31170732,.91758269,.84317583,.69296318,.52101409,,,,40085.816
1994,Hispanic,Illinois,3rd Generation,.41783443,0,1,.88272691,.67996156,.81789291,,,,37780.105
1994,White,Florida,3rd Generation,.088394232,.27138957,.81926161,.83254004,.66923892,.4948402,,,,35296.652
1994,Hispanic,Florida,3rd Generation,.19646806,.049838476,.6320557,.86734319,.62278807,.41322911,,,,27642.717
1994,White,Texas,3rd Generation,.061658211,.30391923,.8456201,.81955767,.73014653,.51220715,,,,37642.762
1994,Hispanic,Texas,3rd Generation,.28682649,.09252803,.71760553,.75903964,.69020927,.65837622,,,,22625.729
1994,White,California,3rd Generation,.043372273,.32126114,.84230173,.80388588,.63065118,.49156961,,,,41740.375
1994,Hispanic,California,3rd Generation,.091973618,.077230886,.84844947,.79123348,.63650566,.68766278,,,,33365.801
1994,White,New York,All,.059880108,.34476304,.87746757,.7795738,.66989249,.50644106,.084678188,.11818786,.79713398,37568.438
1994,Hispanic,New York,All,.31527629,.084815621,.73975807,.57650298,.52105004,.61648607,.54478586,.40008014,.055134028,16804.084
1994,White,New Jersey,All,.045202035,.38120583,.89081407,.81045943,.69117266,.51435411,.075225376,.11057641,.8141982,45689.332
1994,Hispanic,New Jersey,All,.28980881,.086032003,.62886286,.66059774,.59133601,.60152727,.59532821,.37889352,.02577824,22674.203
1994,White,Illinois,All,.057289213,.31283674,.91302967,.83681345,.69027686,.52033412,.055614933,.056931052,.88745403,39403.961
1994,Hispanic,Illinois,All,.49816328,.092435755,.62423307,.72989678,.67680109,.65899462,.66803688,.24445701,.087506108,20134.201
1994,White,Florida,All,.08481051,.27890384,.81609744,.82253879,.67250317,.49265975,.047684085,.063164465,.88915145,33931.324
1994,Hispanic,Florida,All,.25809392,.14265729,.59047544,.73597884,.62744361,.53203017,.74803233,.19637692,.055590738,20197.215
1994,White,Texas,All,.064494409,.31170169,.84630138,.81767076,.72608829,.50889957,.025345769,.026431402,.94822282,37553.895
1994,Hispanic,Texas,All,.41323885,.11644744,.60713673,.75292087,.69371039,.68220353,.35671112,.20238742,.44090146,18743.016
1994,White,California,All,.050508574,.33542463,.84220129,.79541057,.64297849,.50197983,.087061182,.09070956,.82222927,41178.082
