,% Employed,% Married,% less than High School diploma,% with Children,% with College Degree,% with Health Insurance,Median Individual Real Income,igen,scol,state,wbhao,wbhao_igen,year
3,0.67857057,0.68972373,0.50552964,0.72542059,0.09883496900000001,0.56304926,22620.881,1st Generation,0.25216398,National,Hispanic,Hispanic 1st Generation,1994
23,0.66030425,0.70818132,0.57828128,0.78213114,0.069639035,0.55915838,21489.838,1st Generation,0.20042519,California,Hispanic,Hispanic 1st Generation,1994
19,0.73640585,0.65501076,0.29886881,0.56818736,0.13426693,0.57403314,24236.658,1st Generation,0.42295411,Florida,Hispanic,Hispanic 1st Generation,1994
17,0.72050399,0.70968693,0.58698779,0.69204658,0.049495209000000005,0.54307866,22515.855,1st Generation,0.16490929999999998,Illinois,Hispanic,Hispanic 1st Generation,1994
15,0.65962011,0.63171703,0.34657601,0.60610485,0.073918179,0.57552803,24252.816000000003,1st Generation,0.25980714,New Jersey,Hispanic,Hispanic 1st Generation,1994
13,0.58980769,0.54557753,0.34491688,0.65588737,0.10812553,0.6814338000000001,24288.362999999998,1st Generation,0.30237493,New York,Hispanic,Hispanic 1st Generation,1994
21,0.76054686,0.70186436,0.60167778,0.70770746,0.14349544,0.42103675,19649.467,1st Generation,0.26101252,Texas,Hispanic,Hispanic 1st Generation,1994
5,0.6711489,0.58102059,0.27117479,0.59097272,0.11798166,0.75665486,34092.898,2nd Generation,0.39753845,National,Hispanic,Hispanic 2nd Generation,1994
35,0.76632226,0.61688596,0.22956142,0.55538028,0.09003440300000001,0.82820892,35547.102,2nd Generation,0.46654561,California,Hispanic,Hispanic 2nd Generation,1994
31,0.69716549,0.52375346,0.12022073,0.42793173,0.20089289999999999,0.64133626,32315.545,2nd Generation,0.56059921,Florida,Hispanic,Hispanic 2nd Generation,1994
29,0.70085776,0.58580124,0.28418383,0.51179284,0.24286941,0.71149689,40465.527,2nd Generation,0.45631903,Illinois,Hispanic,Hispanic 2nd Generation,1994
27,0.63904238,0.52637511,0.22033189,0.59342766,0.10036511,0.71450496,37162.879,2nd Generation,0.34314781,New Jersey,Hispanic,Hispanic 2nd Generation,1994
25,0.55071229,0.48481795,0.30975631,0.55887944,0.046091713,0.81138527,38810.969,2nd Generation,0.25586236,New York,Hispanic,Hispanic 2nd Generation,1994
33,0.72615027,0.68696606,0.35650173,0.68916023,0.12088339,0.69448435,26175.592,2nd Generation,0.40226638,Texas,Hispanic,Hispanic 2nd Generation,1994
7,0.78286856,0.64960253,0.18629228,0.65816414,0.096557058,0.78092277,36354.988,3rd Generation,0.38559914,National,Hispanic,Hispanic 3rd Generation,1994
47,0.79123348,0.63650566,0.09197361800000001,0.68766278,0.077230886,0.84844947,39922.625,3rd Generation,0.44305596,California,Hispanic,Hispanic 3rd Generation,1994
43,0.86734319,0.62278807,0.19646806,0.41322911,0.049838476,0.6320557,32061.869,3rd Generation,0.34566197,Florida,Hispanic,Hispanic 3rd Generation,1994
41,0.88272691,0.67996156,0.41783443,0.81789291,0.0,1.0,46327.566,3rd Generation,0.36900613,Illinois,Hispanic,Hispanic 3rd Generation,1994
39,1.0,0.61357468,0.0,0.61486095,0.15512067,0.60180455,29407.146,3rd Generation,0.70416582,New Jersey,Hispanic,Hispanic 3rd Generation,1994
37,0.63218719,0.54160947,0.062449992,0.64517933,0.13548775,0.79630423,54936.426,3rd Generation,0.44936222,New York,Hispanic,Hispanic 3rd Generation,1994
45,0.75903964,0.69020927,0.28682649,0.65837622,0.09252803,0.71760553,28280.949,3rd Generation,0.29780388,Texas,Hispanic,Hispanic 3rd Generation,1994
9,0.70098186,0.65667337,0.38063872,0.68047899,0.10250278,0.65565658,27306.635,All,0.31474984,National,Hispanic,Hispanic All,1994
59,0.70378554,0.67937958,0.42355219,0.72817516,0.074301712,0.66046184,25852.436,All,0.29147112,California,Hispanic,Hispanic All,1994
55,0.73597884,0.62744361,0.25809392,0.53203017,0.14265729,0.59047544,25210.972999999998,All,0.44568771,Florida,Hispanic,Hispanic All,1994
53,0.72989678,0.67680109,0.49816328,0.65899462,0.092435755,0.62423307,26049.561,All,0.25400618,Illinois,Hispanic,Hispanic All,1994
51,0.66059774,0.59133601,0.28980881,0.60152727,0.08603200300000001,0.62886286,29153.468999999997,All,0.30283916,New Jersey,Hispanic,Hispanic All,1994
49,0.57650298,0.52105004,0.31527629,0.61648607,0.084815621,0.73975807,30709.463,All,0.29187018,New York,Hispanic,Hispanic All,1994
57,0.75292087,0.69371039,0.41323885,0.68220353,0.11644744,0.60713673,24882.971,All,0.3058219,Texas,Hispanic,Hispanic All,1994
8,0.81031412,0.70070463,0.080565028,0.52944273,0.28490159,0.86227709,41756.531,All,0.56922483,National,White,White All,1994
58,0.79541057,0.64297849,0.050508574,0.50197983,0.33542463,0.84220129,50493.039000000004,All,0.68441033,California,White,White All,1994
54,0.82253879,0.67250317,0.08481051,0.49265975,0.27890384,0.81609744,39626.937999999995,All,0.58402508,Florida,White,White All,1994
