year,wbhao,igen,lths,scol,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2016,White,All,.041467354,.70117199,.41648191,.90033573,.80302113,.6142469,.47484681,.048190363,.045598105,.90621156,47584
2016,Hispanic,All,.25057122,.40025312,.17455967,.77073294,.75300068,.57181078,.61280328,.53028184,.25701901,.21269915,30042
1994,White,1st Generation,.11787829,.58337921,.37330619,.8194645,.73317862,.76092076,.53001511,,,,42693.684
1994,Hispanic,1st Generation,.50552964,.25216398,.098834969,.56304926,.67857057,.68972373,.72542059,,,,22620.881
1994,White,2nd Generation,.055665813,.66045851,.35464478,.8688072,.80785871,.67214572,.48574069,,,,46857.539
1994,Hispanic,2nd Generation,.27117479,.39753845,.11798166,.75665486,.6711489,.58102059,.59097272,,,,34092.898
1994,White,3rd Generation,.080656968,.56273353,.27677453,.86360019,.81361979,.70009953,.53225225,,,,41203.938
1994,Hispanic,3rd Generation,.18629228,.38559914,.096557058,.78092277,.78286856,.64960253,.65816414,,,,36354.988
1994,White,All,.080565028,.56922483,.28490159,.86227709,.81031412,.70070463,.52944273,.036895074,.058629837,.90447509,41756.531
1994,Hispanic,All,.38063872,.31474984,.10250278,.65565658,.70098186,.65667337,.68047899,.55055803,.21898197,.23046003,27306.635
1995,White,1st Generation,.097038969,.60830694,.38616627,.81075436,.72928351,.75093782,.51994401,,,,42733.637
1995,Hispanic,1st Generation,.51723057,.23430972,.088315681,.53244829,.68245584,.70549226,.72882497,,,,23740.908
1995,White,2nd Generation,.04076552,.68435425,.36684194,.87653357,.82957757,.68216372,.47435486,,,,47679.66
1995,Hispanic,2nd Generation,.25540182,.39588329,.11769452,.75949669,.70378375,.5837093,.64503777,,,,34820
1995,White,3rd Generation,.07517802,.57557833,.28981897,.86959338,.82270801,.70148122,.53348398,,,,41344
1995,Hispanic,3rd Generation,.1959365,.38197076,.10992937,.74831897,.75727457,.64851636,.65274781,,,,33253.102
1995,White,All,.074051738,.58285302,.29763931,.86783499,.81968403,.70220542,.5296846,.036478281,.055902101,.9076196,41893.207
1995,Hispanic,All,.38877815,.3021726,.099475339,.62969816,.70388192,.66658318,.69374496,.56058359,.21406528,.22535113,28172.545
1996,White,1st Generation,.11137825,.62200874,.38400793,.82124448,.7275247,.76210248,.54162288,,,,43273.855
1996,Hispanic,1st Generation,.55844384,.20492493,.076998711,.53289306,.67932391,.71393323,.73113978,,,,23251.971
1996,White,2nd Generation,.046006471,.6630947,.38606548,.88609552,.83682543,.66733193,.47776634,,,,48281.262
1996,Hispanic,2nd Generation,.25255224,.40714625,.13641343,.75611544,.72849202,.55876338,.6152004,,,,34161.621
1996,White,3rd Generation,.07431484,.57720834,.29228729,.86791742,.82493621,.69267702,.52098626,,,,42501.109
1996,Hispanic,3rd Generation,.2145963,.38150489,.10309107,.75170571,.76505971,.63571382,.64612019,,,,32769.129
1996,White,All,.074102528,.58374286,.30102557,.86719698,.82195956,.69384456,.51931548,.037458718,.056543652,.90599763,43210.492
1996,Hispanic,All,.41223982,.29053819,.096540727,.63259727,.70945442,.6607039,.68558466,.54904222,.23334067,.21761708,27818.908
1997,White,1st Generation,.097510941,.6312663,.40470433,.8000986,.75401211,.72512573,.52545387,,,,43693.531
1997,Hispanic,1st Generation,.51694131,.24069539,.091027535,.53366536,.71410489,.7124328,.72311032,,,,22587.857
1997,White,2nd Generation,.044291317,.66572857,.37748483,.8850767,.83560437,.6751557,.47492513,,,,48189.738
1997,Hispanic,2nd Generation,.24475858,.43660796,.13658018,.75471836,.75741005,.59585208,.64122182,,,,34007.434
1997,White,3rd Generation,.072606936,.57788002,.29331356,.87250644,.83026236,.68796468,.51900357,,,,42885.48
1997,Hispanic,3rd Generation,.18669638,.42628494,.13832527,.76528609,.76063514,.6213032,.62951052,,,,33104.582
1997,White,All,.071995147,.58489907,.30239993,.87037325,.82757318,.68870294,.51678449,.039196186,.05607966,.90472418,43445.25
1997,Hispanic,All,.3802242,.32727903,.11209998,.63639969,.73449296,.66529024,.68328393,.54609573,.22704072,.22686355,27100.613
1998,White,1st Generation,.096297622,.61856407,.42124811,.80506611,.78139049,.73353654,.51292515,,,,44187.816
1998,Hispanic,1st Generation,.50000316,.23640794,.099728487,.52103281,.73789811,.70887667,.7434963,,,,23566.836
