year,wbhao,state,igen,lths,scol,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2016,White,New York,All,.028979514,.75950366,.52403951,.92332786,.81125414,.55836356,.43741402,.11784948,.10048773,.78166276,55001
2016,Hispanic,New York,All,.18209915,.49489117,.26213482,.90556544,.75200695,.45053712,.53321356,.49450496,.38381302,.121682,35025
2016,White,New Jersey,All,.014414853,.70776159,.48719653,.92699832,.80821764,.68889272,.52681988,.10689101,.11170753,.78140146,58000
2016,Hispanic,New Jersey,All,.1892627,.42117816,.19162925,.80025762,.79273003,.49357638,.60483229,.58613276,.31204975,.10181748,35000
2016,White,Illinois,All,.025770256,.75572157,.46886384,.91906089,.85296243,.58749318,.46592706,.082348838,.056991804,.86065936,50105
2016,Hispanic,Illinois,All,.26373878,.36449862,.14031765,.79886323,.75621611,.57431322,.6681757,.53453672,.27295995,.19250333,30000
2016,White,Florida,All,.027765628,.67663616,.35933375,.84365046,.77928746,.57988191,.38812089,.074403591,.040889692,.88470674,45000
2016,Hispanic,Florida,All,.1243384,.52302027,.28043753,.76574445,.76026791,.58469772,.53118914,.59082216,.30764669,.10153113,32000
2016,White,Texas,All,.031344064,.76389503,.46401426,.85272074,.79321951,.66253847,.48539847,.046555877,.034751564,.91869259,50032
2016,Hispanic,Texas,All,.28704441,.37440404,.14868119,.64880574,.7683261,.59075528,.59876102,.49247634,.19494899,.31257465,30795
2016,White,California,All,.021708535,.77861017,.48089191,.92339993,.78761512,.58189195,.42684636,.09034811,.07565327,.83399862,55300
2016,Hispanic,California,All,.28194347,.36920351,.12892756,.83961231,.7226333,.58717388,.62730765,.52506787,.28013495,.1947972,30000
1994,White,New York,1st Generation,.14016478,.52156335,.35726941,.77422994,.67907929,.73144585,.49821365,,,,41040.742
1994,Hispanic,New York,1st Generation,.34491688,.30237493,.10812553,.6814338,.58980769,.54557753,.65588737,,,,24288.363
1994,White,New Jersey,1st Generation,.13215189,.47820303,.3049725,.79638529,.70204109,.76861167,.5548203,,,,48150.164
1994,Hispanic,New Jersey,1st Generation,.34657601,.25980714,.073918179,.57552803,.65962011,.63171703,.60610485,,,,24252.816
1994,White,Illinois,1st Generation,.16305125,.51486939,.36103135,.87939626,.7597847,.76481819,.55208194,,,,37613.68
1994,Hispanic,Illinois,1st Generation,.58698779,.1649093,.049495209,.54307866,.72050399,.70968693,.69204658,,,,22515.855
1994,White,Florida,1st Generation,.065029986,.60209358,.35175267,.79844379,.71394604,.81236923,.50871056,,,,30583.432
1994,Hispanic,Florida,1st Generation,.29886881,.42295411,.13426693,.57403314,.73640585,.65501076,.56818736,,,,24236.658
1994,White,Texas,1st Generation,.14888158,.58962882,.41884205,.82224965,.75819695,.628429,.52132881,,,,36112.621
1994,Hispanic,Texas,1st Generation,.60167778,.26101252,.14349544,.42103675,.76054686,.70186436,.70770746,,,,19649.467
1994,White,California,1st Generation,.10951045,.65899193,.41361639,.81960702,.71793926,.76780993,.57952648,,,,46574.781
1994,Hispanic,California,1st Generation,.57828128,.20042519,.069639035,.55915838,.66030425,.70818132,.78213114,,,,21489.838
1994,White,New York,2nd Generation,.039627556,.64038712,.37220505,.91552836,.78053421,.65929788,.45300636,,,,50282.988
1994,Hispanic,New York,2nd Generation,.30975631,.25586236,.046091713,.81138527,.55071229,.48481795,.55887944,,,,38810.969
1994,White,New Jersey,2nd Generation,.04166973,.65087265,.39613131,.87274843,.81065464,.7011227,.4869912,,,,52189.605
1994,Hispanic,New Jersey,2nd Generation,.22033189,.34314781,.10036511,.71450496,.63904238,.52637511,.59342766,,,,37162.879
1994,White,Illinois,2nd Generation,.029031575,.66899526,.28336206,.87491137,.8128835,.57558435,.47872114,,,,47503.852
1994,Hispanic,Illinois,2nd Generation,.28418383,.45631903,.24286941,.71149689,.70085776,.58580124,.51179284,,,,40465.527
1994,White,Florida,2nd Generation,.049295992,.58188927,.32968539,.7848838,.76373166,.61286557,.44984859,,,,32355.939
1994,Hispanic,Florida,2nd Generation,.12022073,.56059921,.2008929,.64133626,.69716549,.52375346,.42793173,,,,32315.545
