,year,female,wbhao,igen,% less than High School diploma,scol,% with College Degree,% with Health Insurance,% Employed,% Married,% with Children,Median Individual Real Income,wbhao_igen
6,1994,0,Hispanic,1st Generation,0.50911874,0.2484096,0.10757357,0.52008545,0.83614564,0.72805721,0.68181443,24559.814,Hispanic 1st Generation
7,1994,1,Hispanic,1st Generation,0.50159168,0.25628334,0.089246891,0.61018962,0.50567764,0.64766383,0.77326572,18088.627,Hispanic 1st Generation
10,1994,0,Hispanic,2nd Generation,0.25708973,0.40347761,0.11161702,0.70933384,0.76228809,0.63052887,0.54005855,39933.934,Hispanic 2nd Generation
11,1994,1,Hispanic,2nd Generation,0.28520694,0.39162156,0.1243224,0.80379832,0.58035183,0.53169811,0.64169574,29083.99,Hispanic 2nd Generation
14,1994,0,Hispanic,3rd Generation,0.19804035,0.40917629,0.10113645,0.74644637,0.87480497,0.66001278,0.62234253,40717.586,Hispanic 3rd Generation
15,1994,1,Hispanic,3rd Generation,0.17439941,0.36173141,0.091921225,0.81582415,0.68979907,0.63906395,0.69442725,26781.507999999998,Hispanic 3rd Generation
18,1994,0,Hispanic,All,0.385189,0.31774142,0.10698049,0.61151159,0.82915205,0.69192111,0.63819766,30699.767999999996,Hispanic All
19,1994,1,Hispanic,All,0.37584049,0.31159526,0.097781114,0.70220667,0.56582856,0.61950517,0.72506398,22653.197,Hispanic All
16,1994,0,White,All,0.082820542,0.57962769,0.30985429999999997,0.84704792,0.88294172,0.69778997,0.50643063,51738.805,White All
17,1994,1,White,All,0.078354843,0.55903113,0.26045039,0.87720025,0.73914617,0.70356065,0.55199236,32315.545,White All
22,1995,0,Hispanic,1st Generation,0.51889729,0.23048674,0.10252839,0.50906527,0.85079259,0.72976881,0.68803263,25640.182,Hispanic 1st Generation
23,1995,1,Hispanic,1st Generation,0.51537776,0.23855948,0.07251633,0.55844164,0.49532694,0.6785055999999999,0.77417117,18992.727,Hispanic 1st Generation
