year,female,wbhao,igen,lths,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2016,0,White,All,.046423789,.39212912,.89181668,.85861599,.59695113,.44429293,.047001276,.046736117,.90626264,50005
2016,1,White,All,.036607333,.44036096,.90868908,.74850768,.63120621,.50480634,.049356319,.044482231,.90616143,30009
2016,0,Hispanic,All,.26307565,.15758079,.74953341,.8721447,.57810503,.55790317,.54519063,.25443599,.20037338,31000
2016,1,Hispanic,All,.2378034,.19189622,.79237902,.63134688,.56538397,.6688599,.51505899,.25965646,.22528453,17000
1994,0,White,1st Generation,.12665689,.42924511,.7995559,.85825002,.76365501,.54699665,,,,48521.793
1994,1,White,1st Generation,.10984941,.32214457,.83767289,.61878866,.75842005,.51448387,,,,17773.551
1994,0,Hispanic,1st Generation,.50911874,.10757357,.52008545,.83614564,.72805721,.68181443,,,,22640.271
1994,1,Hispanic,1st Generation,.50159168,.089246891,.61018962,.50567764,.64766383,.77326572,,,,9112.9834
1994,0,White,2nd Generation,.056886569,.38428038,.84641427,.88426328,.66481119,.4664892,,,,50287.836
1994,1,White,2nd Generation,.054429922,.32464176,.89147776,.7305069,.67957115,.5052309,,,,28114.523
1994,0,Hispanic,2nd Generation,.25708973,.11161702,.70933384,.76228809,.63052887,.54005855,,,,32315.545
1994,1,Hispanic,2nd Generation,.28520694,.1243224,.80379832,.58035183,.53169811,.64169574,,,,16248.256
1994,0,White,3rd Generation,.082803421,.30025309,.84895885,.88382649,.69736987,.50746483,,,,48473.316
1994,1,White,3rd Generation,.078552194,.25375181,.87795734,.74477613,.70277619,.55655837,,,,24236.658
1994,0,Hispanic,3rd Generation,.19804035,.10113645,.74644637,.87480497,.66001278,.62234253,,,,38778.652
1994,1,Hispanic,3rd Generation,.17439941,.091921225,.81582415,.68979907,.63906395,.69442725,,,,19389.326
1994,0,White,All,.082820542,.3098543,.84704792,.88294172,.69778997,.50643063,.035610817,.059595998,.9047932,48481.398
1994,1,White,All,.078354843,.26045039,.87720025,.73914617,.70356065,.55199236,.038153518,.057683092,.90416336,24236.658
1994,0,Hispanic,All,.385189,.10698049,.61151159,.82915205,.69192111,.63819766,.56119508,.2129236,.22588131,26395.338
1994,1,Hispanic,All,.37584049,.097781114,.70220667,.56582856,.61950517,.72506398,.53934139,.22537039,.23528822,12771.104
1995,0,White,1st Generation,.10067756,.42753628,.80859953,.84553778,.73518902,.52209795,,,,47481.816
1995,1,White,1st Generation,.093590446,.34695736,.81279665,.61910218,.76586396,.51790261,,,,18285.248
1995,0,Hispanic,1st Generation,.51889729,.10252839,.50906527,.85079259,.72976881,.68803263,,,,23761.484
