,year,wbhao,centcity,igen,% less than High School diploma,scol,% with College Degree,% with Health Insurance,% Employed,% Married,% with Children,Median Individual Real Income,wbhao_igen
6,1994,Hispanic,0,1st Generation,0.50265586,0.28081593,0.12269609,0.5867663000000001,0.69526845,0.72381878,0.75033438,24236.658,Hispanic 1st Generation
7,1994,Hispanic,1,1st Generation,0.50864536,0.22110032,0.072965398,0.53733593,0.66046721,0.65275878,0.69840974,20358.793,Hispanic 1st Generation
10,1994,Hispanic,0,2nd Generation,0.20989265,0.4440577,0.13071112,0.78164881,0.72353709,0.65125018,0.60346091,35556.793,Hispanic 2nd Generation
11,1994,Hispanic,1,2nd Generation,0.33574468,0.34852344,0.10456926,0.73032004,0.61595011,0.50702322,0.57781458,32315.545,Hispanic 2nd Generation
14,1994,Hispanic,0,3rd Generation,0.17807665,0.39503634,0.09555418800000001,0.79292846,0.79231334,0.69245654,0.67797691,35635.969,Hispanic 3rd Generation
15,1994,Hispanic,1,3rd Generation,0.20399837,0.3652603,0.09871841199999999,0.75504845,0.7625134,0.5572446,0.61546415,37486.031,Hispanic 3rd Generation
18,1994,Hispanic,0,All,0.35164523,0.34612161,0.11663292,0.68448704,0.72844672,0.70028234,0.70018423,29083.99,Hispanic All
19,1994,Hispanic,1,All,0.41697028,0.27543804,0.08479637699999999,0.61952919,0.66656578,0.60202718,0.65578651,24882.971,Hispanic All
16,1994,White,0,All,0.082601257,0.55514032,0.26888347,0.86494839,0.81186992,0.72557342,0.55027795,40861.391,White All
17,1994,White,1,All,0.070966423,0.63561779,0.36040947,0.84968489,0.8029803000000001,0.58347553,0.43122774,44674.625,White All
22,1995,Hispanic,0,1st Generation,0.49868733,0.26394418,0.10183636,0.54348612,0.67475283,0.74645597,0.75883418,25518.313,Hispanic 1st Generation
23,1995,Hispanic,1,1st Generation,0.53920984,0.19918406,0.072289631,0.51936513,0.69158626,0.65693808,0.69325513,20575.455,Hispanic 1st Generation
26,1995,Hispanic,0,2nd Generation,0.2113556,0.43974745,0.1300405,0.76204741,0.7561956,0.65026593,0.65144306,36404.309,Hispanic 2nd Generation
27,1995,Hispanic,1,2nd Generation,0.31317809,0.33834577,0.10150004,0.7561509,0.63503402,0.49640566,0.63663584,33257.848,Hispanic 2nd Generation
30,1995,Hispanic,0,3rd Generation,0.20686871,0.36898220000000004,0.10720196,0.75244087,0.75270981,0.67062676,0.67944503,34820.0,Hispanic 3rd Generation
31,1995,Hispanic,1,3rd Generation,0.16861738,0.41442865,0.11674505,0.73801857,0.76868165,0.59326339,0.58603251,31654.545,Hispanic 3rd Generation
34,1995,Hispanic,0,All,0.35909304,0.32918102,0.10915028,0.64609671,0.71301454,0.70572388,0.71480525,30863.182,Hispanic All
35,1995,Hispanic,1,All,0.43087763,0.2638692,0.085754298,0.60644174,0.69092995,0.61107373,0.66387725,24703.207000000002,Hispanic All
32,1995,White,0,All,0.07624007,0.56940383,0.28264233,0.87211925,0.82264328,0.72422546,0.55108029,41378.82,White All
33,1995,White,1,All,0.063538738,0.64746457,0.36968642,0.84725296,0.80546772,0.59641874,0.42689738,44167.585999999996,White All
38,1996,Hispanic,0,1st Generation,0.53201085,0.22691621,0.086878113,0.5538131,0.6809606,0.76001918,0.7871566999999999,25250.295,Hispanic 1st Generation
39,1996,Hispanic,1,1st Generation,0.59252387,0.17657164,0.064261228,0.50592089,0.67721373,0.65451479,0.65891731,21774.479,Hispanic 1st Generation
42,1996,Hispanic,0,2nd Generation,0.23129597,0.45051375,0.14293858,0.74816287,0.76548284,0.61317438,0.64342886,35855.48,Hispanic 2nd Generation
43,1996,Hispanic,1,2nd Generation,0.28426975,0.34243548,0.12667693,0.76798183,0.67329627,0.47757414,0.57307941,32239.022999999997,Hispanic 2nd Generation
46,1996,Hispanic,0,3rd Generation,0.22635326,0.36330819,0.08866588800000001,0.74482024,0.74442679,0.65845013,0.66206998,31534.277000000002,Hispanic 3rd Generation
47,1996,Hispanic,1,3rd Generation,0.18880159,0.42142841,0.13473985,0.76681238,0.81032825,0.58583045,0.61112642,37091.879,Hispanic 3rd Generation
50,1996,Hispanic,0,All,0.38544849,0.31319085,0.10041318,0.64690226,0.71654814,0.70036292,0.7223534,28823.48,Hispanic All
51,1996,Hispanic,1,All,0.45216101,0.25678399,0.090770461,0.61128169,0.69888425,0.60160881,0.63079637,25392.48,Hispanic All
48,1996,White,0,All,0.07622329900000001,0.56655145,0.28252447,0.87112105,0.82314795,0.72000211,0.54081088,42593.84,White All
49,1996,White,1,All,0.064518027,0.66143674,0.38463873,0.84946281,0.8165887,0.57562917,0.42217013,44850.262,White All
54,1997,Hispanic,0,1st Generation,0.50396556,0.26776871,0.11125519,0.56889969,0.72416067,0.75166428,0.74344856,23474.158,Hispanic 1st Generation
55,1997,Hispanic,1,1st Generation,0.53428715,0.204504,0.063987374,0.48656446,0.70066243,0.65998852,0.69592237,22569.801,Hispanic 1st Generation
58,1997,Hispanic,0,2nd Generation,0.21103512,0.46227247,0.1453349,0.7616411999999999,0.78264469,0.649984,0.6728518,33405.531,Hispanic 2nd Generation
59,1997,Hispanic,1,2nd Generation,0.28882241,0.40307412,0.1251411,0.74567276,0.72443789,0.52512211,0.59989333,34729.715,Hispanic 2nd Generation
62,1997,Hispanic,0,3rd Generation,0.20887123,0.41351241,0.12492978,0.74348903,0.73472875,0.63417923,0.64183021,33104.582,Hispanic 3rd Generation
63,1997,Hispanic,1,3rd Generation,0.14026913,0.45302671,0.16637127,0.81092232,0.81487501,0.59434468,0.60371709,33119.629,Hispanic 3rd Generation
66,1997,Hispanic,0,All,0.36439553,0.34747961,0.12215852,0.65567839,0.73954087,0.69933021,0.70193571,27747.658,Hispanic All
67,1997,Hispanic,1,All,0.40343475,0.29765767,0.09735053,0.60813022,0.72709084,0.61537546,0.65593368,27085.566000000003,Hispanic All
64,1997,White,0,All,0.074653186,0.56778789,0.28322956,0.87298423,0.82777953,0.71645445,0.53703195,42619.137,White All
65,1997,White,1,All,0.059772945999999993,0.66357976,0.39054924,0.85836762,0.82662445,0.56109571,0.42368257,45232.895,White All
70,1998,Hispanic,0,1st Generation,0.4656291,0.26394042,0.11899488,0.58556122,0.73997039,0.7506901,0.75954223,25776.227000000003,Hispanic 1st Generation
71,1998,Hispanic,1,1st Generation,0.5462146999999999,0.19939408,0.073827319,0.43428272,0.73511213,0.65266389,0.72192466,22130.732000000004,Hispanic 1st Generation
74,1998,Hispanic,0,2nd Generation,0.22992055,0.47381592,0.17115653,0.76739842,0.8161934000000001,0.63508976,0.63217473,36823.18,Hispanic 2nd Generation
75,1998,Hispanic,1,2nd Generation,0.27790487,0.38391769,0.14740965,0.80550611,0.66615081,0.5273456,0.60283107,36823.18,Hispanic 2nd Generation
78,1998,Hispanic,0,3rd Generation,0.17351137,0.41248724,0.14290304,0.75136584,0.75972003,0.67445177,0.67016757,35350.254,Hispanic 3rd Generation
79,1998,Hispanic,1,3rd Generation,0.12874480000000002,0.48264638,0.18192096,0.80203736,0.81543958,0.54250544,0.60596818,33892.055,Hispanic 3rd Generation
82,1998,Hispanic,0,All,0.33653468,0.34748971,0.136098,0.66839117,0.7606885999999999,0.70624179,0.70905644,30146.402000000002,Hispanic All
