year,age_arrive_cat,lths,college,hinsured,employed,married2,children,rincp_all
2016,1,.23036738,.1488522,.79709655,.7785297,.54342759,.62308884,26000
2016,2,.42522958,.077835731,.66703385,.73823547,.64498371,.71636087,23000
2016,3,.4021703,.13309599,.67404228,.74039984,.69035935,.65762907,20000
2016,4,.099654146,.24037139,.87086111,.77115005,.46931276,.55013299,30000
2016,5,.041467354,.41648191,.90033573,.80302113,.6142469,.47484681,40000
1994,1,.23572111,.17652263,.76160896,.79159415,.63354987,.73597407,27468.213
1994,2,.49754313,.066069894,.59776443,.70136529,.67742199,.76194131,19389.326
1994,3,.56048524,.098552339,.50982475,.64692944,.7058807,.70722306,14541.995
1994,4,.27117479,.11798166,.75665486,.6711489,.58102059,.59097272,24236.658
1994,5,.080565028,.28490159,.86227709,.81031412,.70070463,.52944273,35547.102
1995,1,.20124167,.17678282,.72242379,.72925693,.69646245,.77123886,24374
1995,2,.52921277,.042180654,.54622114,.70590317,.69200277,.77826375,20099.053
1995,3,.57653725,.093826309,.48594895,.6606338,.71433729,.69447649,14857.061
1995,4,.25540182,.11769452,.75949669,.70378375,.5837093,.64503777,25537.305
1995,5,.074051738,.29763931,.86783499,.81968403,.70220542,.5296846,36127.332
1996,1,.27599141,.1467533,.7071147,.77829295,.68091005,.68968713,23383.338
1996,2,.59192127,.044683918,.5607897,.69290709,.72961521,.79347795,19318.686
1996,3,.60262322,.078055575,.48148277,.65124631,.71324199,.70904511,15454.949
1996,4,.25255224,.13641343,.75611544,.72849202,.55876338,.6152004,26273.414
1996,5,.074102528,.30102557,.86719698,.82195956,.69384456,.51931548,37093.422
1997,1,.24103384,.17634617,.73363352,.75940353,.65153843,.71653104,26942.615
1997,2,.55533099,.057875033,.58364749,.74301773,.72338939,.76238221,20904.037
1997,3,.55270767,.090651378,.46868241,.69055349,.71907979,.70470715,16275.416
1997,4,.24475858,.13658018,.75471836,.75741005,.59585208,.64122182,27356.422
1997,5,.071995147,.30239993,.87037325,.82757318,.68870294,.51678449,37618.844
1998,1,.28078324,.17340873,.69306833,.79565978,.63493341,.72884226,29458.545
1998,2,.52891493,.067400903,.57518083,.78019249,.71809524,.77734506,22182.285
1998,3,.53484231,.09851227,.45803288,.70555449,.72087544,.73101312,16202.199
1998,4,.2509864,.16073129,.78412825,.7503224,.5877884,.61929238,28339.121
1998,5,.066941559,.30774993,.86613733,.82764316,.68317795,.51317126,38296.109
1999,1,.30248526,.14926785,.69516146,.80277371,.67765051,.70392901,29065.109
1999,2,.50261796,.061711505,.55008477,.7590391,.69520819,.7719962,21798.832
1999,3,.51934159,.1232061,.46915957,.70375037,.72607529,.71591794,17439.064
1999,4,.22897036,.16206789,.75606555,.74412358,.58273941,.61982417,29065.109
1999,5,.064569347,.3188726,.8709867,.83101887,.68144304,.50745201,40691.152
2000,1,.25123969,.15582922,.6787709,.79373968,.68703717,.73315531,28459.338
2000,2,.51347727,.054923255,.59101743,.74672598,.7185632,.76959842,22539.795
2000,3,.52109283,.1148992,.50177103,.72248048,.70185328,.72896671,17758.627
2000,4,.21469909,.15661809,.79363948,.77368283,.57234681,.63743287,28466.453
2000,5,.061087634,.32143196,.8888911,.83335316,.68373114,.50490779,41294.5
