,% Employed,% Married,% less than High School diploma,% with College Degree,% with Health Insurance,Median Individual Real Income,igen,scol,wbhao,wbhao_igen,year
2,0.66850042,0.73628515,0.63565028,0.062815756,0.51328146,20407.268,1st Generation,0.16525282,Mexican,Mexican 1st Generation,1994
3,0.74938285,0.64170676,0.28159058,0.093455069,0.74605203,32315.545,2nd Generation,0.40651792,Mexican,Mexican 2nd Generation,1994
2,0.69203204,0.62748176,0.33158827,0.14698440000000002,0.6295774000000001,24317.447,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,1994
3,0.60865957,0.53254747,0.26285514,0.13757227,0.7651239000000001,37990.156,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,1994
4,0.65142441,0.73447716,0.64268655,0.046193421,0.48954457,22044.225,1st Generation,0.14203215,Mexican,Mexican 1st Generation,1995
5,0.72475976,0.63511795,0.27072683,0.085900806,0.69614518,31656.129,2nd Generation,0.36933884,Mexican,Mexican 2nd Generation,1995
4,0.73402911,0.65732038,0.30872697,0.15832147,0.60375285,25507.232000000004,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,1995
5,0.68500882,0.53769511,0.24168485,0.14615205,0.81620061,37985.453,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,1995
6,0.65821594,0.75319618,0.6710906,0.039319575,0.50486118,23182.424,1st Generation,0.12217794,Mexican,Mexican 1st Generation,1996
7,0.77276772,0.61946422,0.25476339,0.11470351,0.68712646,30920.717,2nd Generation,0.36630839,Mexican,Mexican 2nd Generation,1996
6,0.7115593000000001,0.65397221,0.38641384,0.13454095,0.57570225,24727.917999999998,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,1996
7,0.69439322,0.51201475,0.25084934,0.15313329999999997,0.80924714,35918.848,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,1996
8,0.69719946,0.75147426,0.63138402,0.046474475,0.47867221,21909.213,1st Generation,0.15752843,Mexican,Mexican 1st Generation,1997
9,0.79364824,0.65148413,0.23023251,0.09484467699999999,0.68261439,32543.308999999997,2nd Generation,0.41474858,Mexican,Mexican 2nd Generation,1997
8,0.7403626999999999,0.6517930000000001,0.33918709,0.16022806,0.61908168,25039.102000000003,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,1997
9,0.72739345,0.54977125,0.25679073,0.1711503,0.81444305,36114.09,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,1997
10,0.71702856,0.72942483,0.63222402,0.041875087000000005,0.47122097,22093.908,1st Generation,0.13944902,Mexican,Mexican 1st Generation,1998
11,0.80613607,0.63344574,0.28243783,0.11769257,0.7515927,35497.547,2nd Generation,0.41910878,Mexican,Mexican 2nd Generation,1998
10,0.76936918,0.67789018,0.30061564,0.18697077,0.59614849,27985.617000000002,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,1998
11,0.70538086,0.55102479,0.22566147,0.19538638,0.81032616,36823.18,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,1998
12,0.71465254,0.73508817,0.60689825,0.046497120999999995,0.47243699,22670.785,1st Generation,0.13633379,Mexican,Mexican 1st Generation,1999
13,0.76961488,0.62401575,0.23417589,0.12819985,0.71836811,34878.129,2nd Generation,0.39824516,Mexican,Mexican 2nd Generation,1999
12,0.76252645,0.67198795,0.29796219,0.20366776,0.60181952,28483.807,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,1999
13,0.72685397,0.55477589,0.22544377,0.1850125,0.78160447,37784.641,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,1999
