year,wbhao,igen,lths,college,hinsured,employed,married2,rincp_all
2016,Hispanic,1st Generation,.45494261,.058018245,.65519774,.72175699,.68981552,20000
2016,Hispanic,2nd Generation,.10769655,.19075875,.83988231,.78099602,.47701275,28000
1994,Hispanic,1st Generation,.63565028,.062815756,.51328146,.66850042,.73628515,15632.645
1994,Hispanic,2nd Generation,.28159058,.093455069,.74605203,.74938285,.64170676,25364.471
1995,Hispanic,1st Generation,.64268655,.046193421,.48954457,.65142441,.73447716,16447.701
1995,Hispanic,2nd Generation,.27072683,.085900806,.69614518,.72475976,.63511795,24500.619
1996,Hispanic,1st Generation,.6710906,.039319575,.50486118,.65821594,.75319618,16845.895
1996,Hispanic,2nd Generation,.25476339,.11470351,.68712646,.77276772,.61946422,23955.17
1997,Hispanic,1st Generation,.63138402,.046474475,.47867221,.69719946,.75147426,17059.393
1997,Hispanic,2nd Generation,.23023251,.094844677,.68261439,.79364824,.65148413,28891.271
1998,Hispanic,1st Generation,.63222402,.041875087,.47122097,.71702856,.72942483,17675.127
1998,Hispanic,2nd Generation,.28243783,.11769257,.7515927,.80613607,.63344574,29458.545
1999,Hispanic,1st Generation,.60689825,.046497121,.47243699,.71465254,.73508817,17439.064
1999,Hispanic,2nd Generation,.23417589,.12819985,.71836811,.76961488,.62401575,27611.854
2000,Hispanic,1st Generation,.59998238,.047642022,.49445188,.71899968,.73256671,18498.57
2000,Hispanic,2nd Generation,.24076833,.10289425,.75040507,.77423429,.60457498,28459.338
2001,Hispanic,1st Generation,.59613526,.058385666,.55264115,.72244442,.74293137,20038.703
2001,Hispanic,2nd Generation,.2425622,.11475592,.72228104,.73788691,.58884555,27516.059
2002,Hispanic,1st Generation,.60268354,.056486316,.48584914,.71117455,.72456592,20080.738
2002,Hispanic,2nd Generation,.18801673,.13092621,.70169467,.78000385,.57952505,26774.318
2003,Hispanic,1st Generation,.59924263,.054167666,.48474073,.69222075,.73569977,19761.635
2003,Hispanic,2nd Generation,.19846632,.1341615,.73424464,.80583864,.56832689,32095.529
2004,Hispanic,1st Generation,.57741135,.053135913,.47089121,.70194042,.73741013,19330.125
2004,Hispanic,2nd Generation,.16949785,.12935083,.71251768,.8016631,.57474369,32216.877
2005,Hispanic,1st Generation,.56125611,.052384596,.47962412,.71629119,.72314823,19574.486
2005,Hispanic,2nd Generation,.1843852,.13825187,.75550646,.785748,.60874033,30114.594
2006,Hispanic,1st Generation,.55663061,.051365275,.47267663,.73569202,.737881,18933.146
2006,Hispanic,2nd Generation,.1712736,.15975493,.7323904,.76920241,.59454519,29176.465
2007,Hispanic,1st Generation,.55084532,.056492042,.44604483,.72489101,.74027485,21160.027
2007,Hispanic,2nd Generation,.15135044,.18325581,.74323618,.80494738,.62367618,30917.15
2008,Hispanic,1st Generation,.55129921,.053076137,.45196387,.70006502,.74217463,19433.355
2008,Hispanic,2nd Generation,.14018023,.16958682,.73377275,.80897874,.59853047,34294.156
2009,Hispanic,1st Generation,.54558748,.051640254,.44180018,.66598552,.72273737,18340.221
2009,Hispanic,2nd Generation,.17221868,.14710976,.69345856,.75277692,.57547015,29723.047
2010,Hispanic,1st Generation,.51947242,.065122724,.43202454,.6702646,.6978575,17675.127
2010,Hispanic,2nd Generation,.14336908,.17011027,.66280651,.76525724,.55742973,28722.082
2011,Hispanic,1st Generation,.53238267,.05092863,.43443045,.67280436,.68945235,17393.693
2011,Hispanic,2nd Generation,.14813776,.16574474,.71862942,.77357996,.52234292,28264.752
2012,Hispanic,1st Generation,.50370371,.062604487,.42923102,.69288468,.69945037,17536.465
2012,Hispanic,2nd Generation,.15827592,.1925641,.65326118,.7446087,.53130388,27822.275
2013,Hispanic,1st Generation,.49661702,.059780773,.43730864,.69104093,.69188577,17652.594
2013,Hispanic,2nd Generation,.1349569,.17458096,.71611059,.77089959,.53275675,28388.674
2014,Hispanic,1st Generation,.5099023,.060614575,.51604909,.70976192,.70814854,18315.605
2014,Hispanic,2nd Generation,.13020849,.19623244,.7632882,.7696963,.49296096,25440.375
2015,Hispanic,1st Generation,.47958094,.075137697,.60410553,.71849775,.69913703,20023.002
2015,Hispanic,2nd Generation,.10553841,.18930539,.8148759,.78806514,.5368939,28052.225
